web-scraper-order,web-scraper-start-url,superficie,prix,adresse,image link,image link-href
"1706206046-191","https://sn.coinafrique.com/categorie/terrains?page=27","Terrains 150m² - Almadies 2","22 000 000CFA","Almadies 2, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-2-4118543"
"1706206046-192","https://sn.coinafrique.com/categorie/terrains?page=27","Terrain 150m² - Kounoune","11 500 000CFA","Almadies 2, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-kounoune-4117596"
"1706206053-193","https://sn.coinafrique.com/categorie/terrains?page=26","Terrain - Keur Massarr","Prix sur demande","Keur Massar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massarr-4140657"
"1706206053-194","https://sn.coinafrique.com/categorie/terrains?page=26","Terrains 400m2 TF - Point E","500 000 000CFA","Point E, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrains-400m2-tf-point-e-4102372"
"1706206053-195","https://sn.coinafrique.com/categorie/terrains?page=26","Terrain 298m² - Maristes","80 000 000CFA","Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrain-298m-maristes-4140327"
"1706206053-196","https://sn.coinafrique.com/categorie/terrains?page=26","Terrain 200 m²  - Comico Bambilor","22 500 000CFA","Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-comico-bambilor-4140307"
"1706206053-197","https://sn.coinafrique.com/categorie/terrains?page=26","Terrains 180m² - Noflaye","7 500 000CFA","Lac rose, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrains-180m-noflaye-4099529"
"1706206053-198","https://sn.coinafrique.com/categorie/terrains?page=26","Terrains 150m² - Keur Massar","17 000 000CFA","Keur Massar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-keur-massar-4099503"
"1706206053-199","https://sn.coinafrique.com/categorie/terrains?page=26","Terrains 225m² - Keur Massar","25 000 000CFA","Keur Massar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrains-225m-keur-massar-4099504"
"1706206053-200","https://sn.coinafrique.com/categorie/terrains?page=26","Terrain 351 m² - Alamadies","140 000 000CFA","Almadies, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/terrains/terrain-351-m-alamadies-4101415"
"1706206060-201","https://sn.coinafrique.com/categorie/terrains?page=25","Terrain - Bambylor","7 000 000CFA","Keur Massar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-bambylor-4163072"
"1706206060-202","https://sn.coinafrique.com/categorie/terrains?page=25","Terrain 300m² - Yenne","6 000 000CFA","Ndiass, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-300m-yenne-4161571"
"1706206060-203","https://sn.coinafrique.com/categorie/terrains?page=25","Terrain 300 m² - Mbodiene","3 000 000CFA","Mbour, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-mbodiene-4160668"
"1706206060-204","https://sn.coinafrique.com/categorie/terrains?page=25","Terrains 150  m² - Rufisque","2 900 000CFA","Rufisque, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-rufisque-4159976"
"1706206060-205","https://sn.coinafrique.com/categorie/terrains?page=25","Terrains  250m² - Almadies","200 000 000CFA","Almadies, Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-250m-almadies-4120399"
"1706206060-206","https://sn.coinafrique.com/categorie/terrains?page=25","Terrain 150m2 - Keur Massar","17 500 000CFA","Keur Massar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m2-keur-massar-4159594"
"1706206060-207","https://sn.coinafrique.com/categorie/terrains?page=25","Terrains 4800 m² - Toubab Dialao","95 000 000CFA","Toubab Dialao, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-4800-m-toubab-dialao-4159592"
"1706206060-208","https://sn.coinafrique.com/categorie/terrains?page=25","Terrains 150m²  - Dakar","27 000 000CFA","Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-dakar-4159444"
"1706206066-209","https://sn.coinafrique.com/categorie/terrains?page=24","Terrains - 150m² - Lac Rose","Prix sur demande","Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-lac-rose-4142217"
"1706206066-210","https://sn.coinafrique.com/categorie/terrains?page=24","Terrain - Diass","2 500 000CFA","Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4142099"
"1706206066-211","https://sn.coinafrique.com/categorie/terrains?page=24","Terrain 600m²  -  Keur Massar","80 000 000CFA","Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-600m-keur-massar-4179390"
"1706206066-212","https://sn.coinafrique.com/categorie/terrains?page=24","Terrains  200m2 - Socabeg","Prix sur demande","Keur Massar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-200m2-socabeg-4141544"
"1706206066-213","https://sn.coinafrique.com/categorie/terrains?page=24","Terrain 4 ha  - Ndayane","517 000 000CFA","Mbour, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-4-ha-ndayane-4178586"
"1706206066-214","https://sn.coinafrique.com/categorie/terrains?page=24","Terrains - Diass","2 500 000CFA","Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-diass-4140774"
"1706206066-215","https://sn.coinafrique.com/categorie/terrains?page=24","Terrain 2000m² - Ngaparou","55 000 000CFA","Ngaparou, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-2000m-ngaparou-4178168"
"1706206066-216","https://sn.coinafrique.com/categorie/terrains?page=24","Terrain 300m² - Saint-Louis","25 000 000CFA","Saint Louis, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-300m-saint-louis-4178114"
"1706206072-217","https://sn.coinafrique.com/categorie/terrains?page=23","Terrain 150 m2 - Almadies 2","30 000 000CFA","Almadies 2, Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-almadies-2-4156587"
"1706206072-218","https://sn.coinafrique.com/categorie/terrains?page=23","Terrain 150 m2 - Keur Mbaye Fall","16 000 000CFA","Keur Massar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-mbaye-fall-4156341"
"1706206072-219","https://sn.coinafrique.com/categorie/terrains?page=23","Terrain 150 m2 - Cite Doudou Basse Ndiakhirate","13 000 000CFA","Keur Massar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-cite-doudou-basse-ndiakhirate-4160178"
"1706206072-220","https://sn.coinafrique.com/categorie/terrains?page=23","Terrain 150 m2 - Niakhirate","12 000 000CFA","Keur Massar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-niakhirate-4160173"
"1706206072-221","https://sn.coinafrique.com/categorie/terrains?page=23","Terrain 2045 m2 - VDN","Prix sur demande","Damel, Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-2045-m2-vdn-4160164"
"1706206072-222","https://sn.coinafrique.com/categorie/terrains?page=23","Terrains 500m² - Mamelles","325 000 000CFA","Mamelles, Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-500m-mamelles-4156043"
"1706206072-223","https://sn.coinafrique.com/categorie/terrains?page=23","Terrain 500m² - Mamelles","325 000 000CFA","Mamelles, Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrain-500m-mamelles-4155902"
"1706206072-224","https://sn.coinafrique.com/categorie/terrains?page=23","Terrains 150 m² - Diamniadio","Prix sur demande","Diamniadio, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-diamniadio-4191434"
"1706206077-225","https://sn.coinafrique.com/categorie/terrains?page=22","Terrains 225m² - Thiès","2 500 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-225m-thies-4206639"
"1706206077-226","https://sn.coinafrique.com/categorie/terrains?page=22","Terrain 200m² - Zac Mbao","45 000 000CFA","Mbao, Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-200m-zac-mbao-4169825"
"1706206077-227","https://sn.coinafrique.com/categorie/terrains?page=22","Terrains 300m²  - Mbour","5 500 000CFA","Mbour, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-300m-mbour-4205472"
"1706206077-228","https://sn.coinafrique.com/categorie/terrains?page=22","Terrains 150m²  - Diamniadio","2 750 000CFA","Diamniadio, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-diamniadio-4204718"
"1706206077-229","https://sn.coinafrique.com/categorie/terrains?page=22","Terrain  3035 m2  - Thiaroye","1 000 000 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-3035-m2-thiaroye-4169326"
"1706206077-230","https://sn.coinafrique.com/categorie/terrains?page=22","Terrain 9739 m² - Tassette","4 365 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-9739-m-tassette-4165990"
"1706206077-231","https://sn.coinafrique.com/categorie/terrains?page=22","Terrain - Lac rose","5 000 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4204071"
"1706206077-232","https://sn.coinafrique.com/categorie/terrains?page=22","Terrain  8907 m²  - Tassette","6 500 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-8907-m-tassette-4165667"
"1706206083-233","https://sn.coinafrique.com/categorie/terrains?page=21","Vente terrains 9796 m²  - Thiés","4 800 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-9796-m-thies-4180016"
"1706206083-234","https://sn.coinafrique.com/categorie/terrains?page=21","Terrains 1,56 ha  - Thiés","7 020 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-1-56-ha-thies-4179974"
"1706206083-235","https://sn.coinafrique.com/categorie/terrains?page=21","Terrains 150 m² - Lac Rose","2 300 000CFA","Lac rose, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-lac-rose-4218083"
"1706206083-236","https://sn.coinafrique.com/categorie/terrains?page=21","Terrain 160M²  -  Bambilor","4 500 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-160m-bambilor-4217956"
"1706206083-237","https://sn.coinafrique.com/categorie/terrains?page=21","Terrain 150m² - Cité tacko Rufisque","16 000 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-cite-tacko-rufisque-4216613"
"1706206083-238","https://sn.coinafrique.com/categorie/terrains?page=21","Terrains 200m²  - Rufisque","35 000 000CFA","Rufisque, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-200m-rufisque-4216524"
"1706206083-239","https://sn.coinafrique.com/categorie/terrains?page=21","Terrain 150 m² - Almadie 2","30 000 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-almadie-2-4216488"
"1706206083-240","https://sn.coinafrique.com/categorie/terrains?page=21","Terrains 150 m²  - Mariste","80 000 000CFA","Yoff, Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-mariste-4216386"
"1706206088-241","https://sn.coinafrique.com/categorie/terrains?page=20","Vente terrains 1,22 ha - Thiés","26 500 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-1-22-ha-thies-4188287"
"1706206088-242","https://sn.coinafrique.com/categorie/terrains?page=20","Terrains 150 m²  - Bambilor Diaksao","3 000 000CFA","Rufisque, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-bambilor-diaksao-4227233"
"1706206088-243","https://sn.coinafrique.com/categorie/terrains?page=20","Vente terrains 2,05 ha  - Thiés","46 800 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-2-05-ha-thies-4188273"
"1706206088-244","https://sn.coinafrique.com/categorie/terrains?page=20","Vente terrains 2,31 ha  - Thiés","64 000 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-2-31-ha-thies-4188266"
"1706206088-245","https://sn.coinafrique.com/categorie/terrains?page=20","Vente terrains 4,28 - Thiés","76 000 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-4-28-thies-4188260"
"1706206088-246","https://sn.coinafrique.com/categorie/terrains?page=20","Terrain 300 m²  - Rufisque","20 000 000CFA","Rufisque, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-rufisque-4227191"
"1706206088-247","https://sn.coinafrique.com/categorie/terrains?page=20","Terrain - Grand Mbao","30 000 000CFA","Guédiawaye, Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/terrain-grand-mbao-4227070"
"1706206088-248","https://sn.coinafrique.com/categorie/terrains?page=20","Vente terrains 4,07 ha  - Thiés","42 300 000CFA","Thies, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-4-07-ha-thies-4188012"
"1706206094-249","https://sn.coinafrique.com/categorie/terrains?page=19","Terrain 4152 m²  - Maabo","7 900 000CFA","Kaffrine, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-4152-m-maabo-4202548"
"1706206094-250","https://sn.coinafrique.com/categorie/terrains?page=19","Terrain 2,25 ha  - Keur Madarou","360 000 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-2-25-ha-keur-madarou-4202516"
"1706206094-251","https://sn.coinafrique.com/categorie/terrains?page=19","Terrains 4,82 ha  - Tassette","57 400 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-4-82-ha-tassette-4202484"
"1706206094-252","https://sn.coinafrique.com/categorie/terrains?page=19","Terrains 1,35 ha - Darou Khoudoss","7 800 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-1-35-ha-darou-khoudoss-4201944"
"1706206094-253","https://sn.coinafrique.com/categorie/terrains?page=19","Terrain 250 m2 - Bambilor Cité Sablux","15 500 000CFA","Lac rose, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-250-m2-bambilor-cite-sablux-4201938"
"1706206094-254","https://sn.coinafrique.com/categorie/terrains?page=19","Terrain 8449 m² - Mbour","9 500 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-8449-m-mbour-4201801"
"1706206094-255","https://sn.coinafrique.com/categorie/terrains?page=19","Terrain 6500 m²  - Fimela","22 700 000CFA","Fatick, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-6500-m-fimela-4201757"
"1706206094-256","https://sn.coinafrique.com/categorie/terrains?page=19","Terrain 150 m²  -  Keur Massar","10 000 000CFA","Keur Massar, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-keur-massar-4239726"
"1706206099-257","https://sn.coinafrique.com/categorie/terrains?page=18","Terrains 1200m² clôturé - Ndayane","45 000 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-1200m-cloture-ndayane-4220843"
"1706206099-258","https://sn.coinafrique.com/categorie/terrains?page=18","Vente villa à démolir 150 m² - Zac Mbao","26 000 000CFA","Mariste, Dakar, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-150-m-zac-mbao-4256079"
"1706206099-259","https://sn.coinafrique.com/categorie/terrains?page=18","Terrains 180m²  - Ndiass","2 000 000CFA","Ndiass, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-180m-ndiass-4255601"
"1706206099-260","https://sn.coinafrique.com/categorie/terrains?page=18","Terrains 250  m² - Patte d'oie","120 000CFA","Patte d'oie, Dakar, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-250-m-patte-doie-4255305"
"1706206099-261","https://sn.coinafrique.com/categorie/terrains?page=18","Terrains 150m²  - Mbao","17 000 000CFA","Mbao, Dakar, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbao-4255178"
"1706206099-262","https://sn.coinafrique.com/categorie/terrains?page=18","Terrain 1.12 ha  - Notto Diobass","13 750 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-112-ha-notto-diobass-4216749"
"1706206099-263","https://sn.coinafrique.com/categorie/terrains?page=18","Terrain 4272 m² - Notto Diobass","3 750 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-4272-m-notto-diobass-4216730"
"1706206099-264","https://sn.coinafrique.com/categorie/terrains?page=18","Terrain 4 ha  - Tassette","57 000 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-4-ha-tassette-4216701"
"1706206105-265","https://sn.coinafrique.com/categorie/terrains?page=17","Terrain 150m² - Bambilor Diacksao","2 500 000CFA","Rufisque, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-bambilor-diacksao-4269459"
"1706206105-266","https://sn.coinafrique.com/categorie/terrains?page=17","Terrain 1,8 ha  - Diass","27 200 000CFA","Mbour, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-1-8-ha-diass-4231495"
"1706206105-267","https://sn.coinafrique.com/categorie/terrains?page=17","Terrains 150  m² - Keur massar","7 000 000CFA","Keur Massar, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-keur-massar-4269251"
"1706206105-268","https://sn.coinafrique.com/categorie/terrains?page=17","Terrain 1,60 ha  - Tassette","12 500 000CFA","Thies, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-1-60-ha-tassette-4231260"
"1706206105-269","https://sn.coinafrique.com/categorie/terrains?page=17","Terrains 150 m² - Bambilor","4 000 000CFA","Rufisque, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-bambilor-4232976"
"1706206105-270","https://sn.coinafrique.com/categorie/terrains?page=17","Terrains jumelés - Croaiem niaga","7 000 000CFA","Niaga, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrains-jumeles-croaiem-niaga-4232977"
"1706206105-271","https://sn.coinafrique.com/categorie/terrains?page=17","Terrain - Diakherate","18 000 000CFA","Rufisque, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-diakherate-4268615"
"1706206105-272","https://sn.coinafrique.com/categorie/terrains?page=17","Terrain 200 m²  - Keur Massar","13 000 000CFA","Keur Massar, Sénégal","favorite_border7mois","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-keur-massar-4268444"
"1706206111-273","https://sn.coinafrique.com/categorie/terrains?page=16","Recherche - Terrain 3 ha","Prix sur demande","Thies, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/recherche-terrain-3-ha-4294110"
"1706206111-274","https://sn.coinafrique.com/categorie/terrains?page=16","Terrain 300m² - Almadies 1","28 000 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-300m-almadies-1-4293698"
"1706206111-275","https://sn.coinafrique.com/categorie/terrains?page=16","Terrains 150m²  - Diamniadio","17 000 000CFA","Diamniadio, Sénégal","favorite_border","https://sn.coinafrique.com/annonce/terrains/terrains-150m-diamniadio-4259294"
"1706206111-276","https://sn.coinafrique.com/categorie/terrains?page=16","Terrain 225m²  - Thies","1 500 000CFA","Thies, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-225m-thies-4293167"
"1706206111-277","https://sn.coinafrique.com/categorie/terrains?page=16","Terrain - Sicap keur Massar","12 500 000CFA","Keur Massar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-sicap-keur-massar-4293114"
"1706206111-278","https://sn.coinafrique.com/categorie/terrains?page=16","Terrain - Mbour","11 111CFA","Dakar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-mbour-4292792"
"1706206111-279","https://sn.coinafrique.com/categorie/terrains?page=16","Terrain TF 191 m² à Mamelles","110 000 000CFA","Mamelles, Dakar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-tf-191-m-a-mamelles-4256594"
"1706206111-280","https://sn.coinafrique.com/categorie/terrains?page=16","Vente terrains 400 m2 - Almadies","220 000 000CFA","Almadies, Dakar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-400-m2-almadies-4258793"
"1706206116-281","https://sn.coinafrique.com/categorie/terrains?page=15","Terrains 150 m2 - Bambilor","4 000 000CFA","Lac rose, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-bambilor-4280784"
"1706206116-282","https://sn.coinafrique.com/categorie/terrains?page=15","Terrain 200m²  à Mboro","1 500 000CFA","Mboro, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-200m-a-mboro-4280735"
"1706206116-283","https://sn.coinafrique.com/categorie/terrains?page=15","Terrain 150m² - Lac Rose Keur Marème Mbengue","2 500 000CFA","Lac rose, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-lac-rose-keur-mareme-mbengue-4285144"
"1706206116-284","https://sn.coinafrique.com/categorie/terrains?page=15","Vente maison à démolir - Keur Massar.","15 000 000CFA","Keur Massar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-keur-massar-4288542"
"1706206116-285","https://sn.coinafrique.com/categorie/terrains?page=15","Terrain 225 m2 - Notto Diobass.","1 500 000CFA","Thies, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-notto-diobass-4288493"
"1706206116-286","https://sn.coinafrique.com/categorie/terrains?page=15","Vente terrain 8 ha - Thiès","31 900 000CFA","Thies, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/vente-terrain-8-ha-thies-4270821"
"1706206116-287","https://sn.coinafrique.com/categorie/terrains?page=15","Terrains 225 m2 - Colobane tanghor","550 000CFA","Thies, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-colobane-tanghor-4275828"
"1706206116-288","https://sn.coinafrique.com/categorie/terrains?page=15","Terrain - Croisement saly","25 000 000CFA","Saly, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/terrains/terrain-croisement-saly-4306729"
"1706206123-289","https://sn.coinafrique.com/categorie/terrains?page=14","Terrains 150m²  - Mbour","5 000 000CFA","Mbour, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbour-4329566"
"1706206123-290","https://sn.coinafrique.com/categorie/terrains?page=14","Terrain 5 ha  -  Diamniadio","13 000 000CFA","Diamniadio, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-5-ha-diamniadio-4329555"
"1706206123-291","https://sn.coinafrique.com/categorie/terrains?page=14","Terrains 150m²  - Diamniadio","13 000 000CFA","Diamniadio, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-diamniadio-4329553"
"1706206123-292","https://sn.coinafrique.com/categorie/terrains?page=14","Terrain 150m² - Dakar","90 000 000CFA","Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-dakar-4329057"
"1706206123-293","https://sn.coinafrique.com/categorie/terrains?page=14","Terrain 225m² - Gandigal","4 500 000CFA","Mbour, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-225m-gandigal-4328560"
"1706206123-294","https://sn.coinafrique.com/categorie/terrains?page=14","Terrain 150 m2 - Zac Mbao","25 000 000CFA","Mbao, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-zac-mbao-4292941"
"1706206123-295","https://sn.coinafrique.com/categorie/terrains?page=14","Terrain 155 m2 - Almadies","800 000CFA","Ngor, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-155-m2-almadies-4292947"
"1706206123-296","https://sn.coinafrique.com/categorie/terrains?page=14","Terrain Tf 150 m2 - Cité Doudou Basse Ndiakhirate","12 000 000CFA","Rufisque, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-tf-150-m2-cite-doudou-basse-ndiakhirate-4292935"
"1706206129-297","https://sn.coinafrique.com/categorie/terrains?page=13","Vente terrains 10000 m2 - Ouakam","1 300 000CFA","Ouakam, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-10000-m2-ouakam-4306503"
"1706206129-298","https://sn.coinafrique.com/categorie/terrains?page=13","Vente terrains 225 m2 bail - Boa  - Almadies","110 000 000CFA","Almadies, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m2-bail-boa-almadies-4310511"
"1706206129-299","https://sn.coinafrique.com/categorie/terrains?page=13","Terrains 225m²  -   Saly","6 500 000CFA","Saly, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrains-225m-saly-4346771"
"1706206129-300","https://sn.coinafrique.com/categorie/terrains?page=13","Terrain 150m² - Keur Massila","6 800 000CFA","Mbour, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massila-4346230"
"1706206129-301","https://sn.coinafrique.com/categorie/terrains?page=13","Terrains 150m² - Mbour","5 000 000CFA","Mbour, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbour-4346224"
"1706206129-302","https://sn.coinafrique.com/categorie/terrains?page=13","Terrains 300 m² - Malikounda","3 500 000CFA","Malikounda, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrains-300-m-malikounda-4346020"
"1706206129-303","https://sn.coinafrique.com/categorie/terrains?page=13","Terrain 160m² - Nord Foire","Prix sur demande","Ouest Foire, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrain-160m-nord-foire-4312398"
"1706206129-304","https://sn.coinafrique.com/categorie/terrains?page=13","Terrains 400m²  - Ndiass","Prix sur demande","Ndiass, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/terrains/terrains-400m-ndiass-4345268"
"1706206134-305","https://sn.coinafrique.com/categorie/terrains?page=12","Terrains   - Rufisque Sangalkam","20 000CFA","Rufisque, Sénégal","favorite_border4mois","https://sn.coinafrique.com/annonce/terrains/terrains-rufisque-sangalkam-4328628"
