Type_annonce,Nombre_pieces,Prix,Adresse,Image_link
Location,6,1500000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4559648_uploaded_image1_1706036640.jpg
Location,6,700000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4559554_uploaded_image1_1706030458.jpg
Vente,6,145000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4559536_uploaded_image1_1706029474.jpg
Vente,3,55000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4550189_uploaded_image1_1705509866.jpg
Location,5,1300000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4555163_uploaded_image1_1705765954.jpg
Vente,6,299000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4523457_uploaded_image1_1704209123.jpg
Location,6,1700000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543595_uploaded_image1_1705157949.jpg
Vente,5,90000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4549997_uploaded_image1_1705502639.jpg
Location,5,800000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4544584_uploaded_image1_1705240638.jpg
Location,8,3000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4515520_uploaded_image1_1703669033.jpg
Location,5,1200000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4533360_uploaded_image1_1704706398.jpg
Location,6,750000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4558837_uploaded_image1_1706003826.jpg
Vente,4,135000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4558704_uploaded_image1_1705999155.jpg
Location,5,750000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4515396_uploaded_image1_1703662633.jpg
Vente,3,300000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4523956_uploaded_image1_1704230709.jpg
Location,7,1000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4523934_uploaded_image1_1704229407.jpg
Vente,30,220000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4523792_uploaded_image1_1704222580.jpg
Location,6,4000000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525679_uploaded_image1_1704310356.jpg
Location,5,4000000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525684_uploaded_image1_1704310599.jpg
