Superficie,Prix,Adresse,Img_link
150,16000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4548880_uploaded_image1_1705455234.jpg
150,15000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4548851_uploaded_image1_1705451662.jpg
150,15000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4558515_uploaded_image1_1705970485.jpg
300,100000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4558483_uploaded_image2_1705967050.jpeg
300,7000000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_4554180_uploaded_image1_1705705715.jpg
225,300000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4558198_uploaded_image1_1705949707.jpg
300,300,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4544806_uploaded_image1_1705250492.jpg
300,35000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4557513_uploaded_image1_1705926057.jpg
150,2000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4541478_uploaded_image1_1705058277.jpg
200,8000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4557303_uploaded_image1_1705920775.jpg
500,33000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4557258_uploaded_image1_1705919024.jpg
250,10000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4540689_uploaded_image1_1705012615.jpg
400,35000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4556602_uploaded_image1_1705874568.jpg
150,3000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4511049_uploaded_image2_1703289230.jpeg
212,7000000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4513528_uploaded_image1_1703521898.jpg
170,11500000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4539963_uploaded_image1_1704982740.jpg
180,20000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4556032_uploaded_image1_1705845900.jpg
250,17000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4556031_uploaded_image1_1705845604.jpg
300,7500000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4555583_uploaded_image1_1705799443.jpg
155,80000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4509929_uploaded_image1_1703222633.jpg
500,250000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4509927_uploaded_image1_1703222427.jpg
150,20000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4509924_uploaded_image1_1703222022.jpg
150,20000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4509921_uploaded_image1_1703221862.jpg
150,70000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4509912_uploaded_image1_1703221210.jpg
150,11500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4529569_uploaded_image1_1704485764.jpg
225,1800000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4529550_uploaded_image1_1704484876.jpg
3000,5000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4555230_uploaded_image1_1705769991.jpg
200,18000000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4512109_uploaded_image1_1703364633.jpg
200,10000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4553316_uploaded_image1_1705666165.jpg
632,600000000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4553287_uploaded_image1_1705665237.jpg
300,3000000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4552533_uploaded_image1_1705615580.jpg
300,199900000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4506551_uploaded_image1_1703018984.jpg
360,5500000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4552421_uploaded_image1_1705610337.jpg
300,9000000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4506542_uploaded_image1_1703018128.jpg
150,4500000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4506535_uploaded_image1_1703017613.jpg
225,3500000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_4551810_uploaded_image1_1705585230.jpg
150,6500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4551525_uploaded_image1_1705576289.jpg
200,15000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4550873_uploaded_image1_1705536557.jpg
150,6500000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4506464_uploaded_image1_1703013513.jpg
150,4000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4506473_uploaded_image1_1703013915.jpg
225,350000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4509230_uploaded_image1_1703174399.jpg
250000,13000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4509044_uploaded_image1_1703167806.jpg
300,20000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4550004_uploaded_image1_1705503033.jpg
1114,47000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4508711_uploaded_image1_1703157171.jpg
1500,100000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4549440_uploaded_image2_1705486867.jpeg
150,16000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4549060_uploaded_image2_1705475027.jpeg
150,42000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548163_uploaded_image1_1705414601.jpg
178,140000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548133_uploaded_image1_1705413526.jpg
1000,45000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4507236_uploaded_image1_1703072576.jpg
150,23000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4507090_uploaded_image1_1703067196.31.jpeg
150,27000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4507084_uploaded_image1_1703067025.63.jpeg
1,2500000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4505797_uploaded_image1_1702989939.53.jpeg
170,70000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4505791_uploaded_image1_1702989378.73.jpeg
150,18000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4505782_uploaded_image1_1702988984.83.jpeg
400,30000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4546075_uploaded_image1_1705319017.jpg
225,1500000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4546001_uploaded_image1_1705315933.jpg
225,40000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4544960_uploaded_image1_1705257128.jpg
500,500000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4504815_uploaded_image1_1702919079.jpg
250,6000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4544687_uploaded_image1_1705246345.jpg
4500,400000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4501345_uploaded_image1_1702662053.jpg
225,2750000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_4543669_uploaded_image1_1705161696.jpg
