web-scraper-order,web-scraper-start-url,details,prix,adresse,image link,image link-href
"1706212494-1","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Almadies","1 300 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3812636"
"1706212494-2","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Virage","700 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-3812645"
"1706212494-3","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Cité Keur Gorgui","450 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-keur-gorgui-3812602"
"1706212494-4","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements - Yoff","400 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-yoff-3812562"
"1706212494-5","https://sn.coinafrique.com/categorie/appartements?page=50","Location Appartements 4 pièces - Dakar","350 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-dakar-3852623"
"1706212494-6","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz Sacré Coeur","2 500 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3812314"
"1706212494-7","https://sn.coinafrique.com/categorie/appartements?page=50","Vente appartements 3 pièces - Almadies","125 000 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartements-3-pieces-almadies-3826566"
"1706212494-8","https://sn.coinafrique.com/categorie/appartements?page=50","Location  appartement F3 à Ouest foire","225 000CFA","Ouest Foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-ouest-foire-3812003"
"1706212494-9","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 8 pièces  - Keur Massar unités 23","175 000CFA","Keur Massar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-8-pieces-keur-massar-unites-23-3852038"
"1706212494-10","https://sn.coinafrique.com/categorie/appartements?page=50","Location Appartements 4 pièces - Almadies","1 300 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-3815063"
"1706212494-11","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces à Ouakam Comico","350 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-ouakam-comico-3825752"
"1706212494-12","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Liberté 6","430 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-liberte-6-3838862"
"1706212494-13","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Ngor Almadies","450 000CFA","Ngor, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-almadies-3851479"
"1706212494-14","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pèces - Almadie 2","210 000CFA","Almadies 2, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-peces-almadie-2-3851413"
"1706212494-15","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mamelles","325 000CFA","Mamelles, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3825113"
"1706212494-16","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Ouakam","300 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouakam-3825097"
"1706212494-17","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement F5  au  Virage","1 186 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-au-virage-3809959"
"1706212494-18","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Cité Sipres","800 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-sipres-3813515"
"1706212494-19","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 5 pièces - Zac Mbao","250 000CFA","Rufisque, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-zac-mbao-3809063"
"1706212494-20","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 6 pièces - Almadies","6 250 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-6-pieces-almadies-3809029"
"1706212494-21","https://sn.coinafrique.com/categorie/appartements?page=50","Location studio - Ouest-Foire","175 000CFA","Ouest Foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-studio-ouest-foire-3823989"
"1706212494-22","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Ouest-Foire","300 000CFA","Ouest Foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ouest-foire-3823934"
"1706212494-23","https://sn.coinafrique.com/categorie/appartements?page=50","Location studio 1 pièce - cité Batrain 1","225 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-studio-1-piece-cite-batrain-1-3808544"
"1706212494-24","https://sn.coinafrique.com/categorie/appartements?page=50","Location mini studio 1 pièce - Cité Batrain","175 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-mini-studio-1-piece-cite-batrain-3808530"
"1706212494-25","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces à Hann Maristes","600 000CFA","Mariste, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-hann-maristes-3808381"
"1706212494-26","https://sn.coinafrique.com/categorie/appartements?page=50","Location appatement 4 pièces - 2e étage au Virage","900 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appatement-4-pieces-2e-etage-au-virage-3808224"
"1706212494-27","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 2 pièces - Point E","500 000CFA","Point E, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-point-e-3850121"
"1706212494-28","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement F4 grand standing - Yoff  Virage","1 350 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-grand-standing-yoff-virage-3807733"
"1706212494-29","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 4 pièces - Point E","800 000CFA","Point E, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-point-e-3805398"
"1706212494-30","https://sn.coinafrique.com/categorie/appartements?page=50","Vente appartement 4 pièces - Scat Urbam","75 000 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-scat-urbam-3807239"
"1706212494-31","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 2 pièces - Mermoz Pyrotechnique","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-pyrotechnique-3848686"
"1706212494-32","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Amitié 2","500 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-amitie-2-3804094"
"1706212494-33","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Liberté 6 Extension","300 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-liberte-6-extension-3830339"
"1706212494-34","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Zone de Captage","225 000CFA","Patte d'oie, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-zone-de-captage-3830310"
"1706212494-35","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Medina","650 000CFA","Medina, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-medina-3806487"
"1706212494-36","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Diamniadio","450 000CFA","Diamniadio, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-diamniadio-3847611"
"1706212494-37","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz Sacré Coeur","1 200 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3802629"
"1706212494-38","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 2 pièces - Mermoz Sacré Coeur","160 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-3802633"
"1706212494-39","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Yoff","250 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-yoff-3838193"
"1706212494-40","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Ngor","700 000CFA","Ngor, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-3838117"
"1706212494-41","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Ngor","900 000CFA","Ngor, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-3809643"
"1706212494-42","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces 203m² - Mermoz-Pyrotechnique","750 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-203m-mermoz-pyrotechnique-3802250"
"1706212494-43","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Patte d'Oie","225 000CFA","Patte d'oie, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-patte-doie-3846776"
"1706212494-44","https://sn.coinafrique.com/categorie/appartements?page=50","Vente appartement 4 pièces - Virage","140 000 000CFA","Ngor, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-virage-3805073"
"1706212494-45","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz-Sacré-Cœur","2 500 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-cur-3804571"
"1706212494-46","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Keur Massar Unité 14","125 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-keur-massar-unite-14-3845996"
"1706212494-47","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz Sacré Coeur","850 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3801106"
"1706212494-48","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement - Almadies 2","110 000CFA","Rufisque, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-almadies-2-3845479"
"1706212494-49","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 5 pièces - Sicap Foire","500 000CFA","Sicap foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-sicap-foire-3845352"
"1706212494-50","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 4 pièces - Cité Damel","275 000CFA","Damel, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-damel-3845221"
"1706212494-51","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Yoff Virage","1 500 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-yoff-virage-3803817"
"1706212494-52","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements - Dakar","Prix sur demande","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-dakar-3845017"
"1706212494-53","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 3 pièces - Ouakam","Prix sur demande","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ouakam-3844517"
"1706212494-54","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz-Sacré-Cœur","650 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-cur-3803115"
"1706212494-55","https://sn.coinafrique.com/categorie/appartements?page=50","Location mini studio - Liberté 6 Extension","135 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-mini-studio-liberte-6-extension-3802751"
"1706212494-56","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement - Ouest foire","325 000CFA","Ouest Foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-ouest-foire-3805434"
"1706212494-57","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 3 pièces - Pikine","16 000CFA","Pikine, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-pikine-3843537"
"1706212494-58","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Médina","650 000CFA","Medina, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-medina-3802287"
"1706212494-59","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Ouest-Foire","300 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouest-foire-3802220"
"1706212494-60","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Parcelles Assainies de Keur...","140 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-parcelles-assainies-de-keur-massar-u-22-3820728"
"1706212494-61","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Yoff","250 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-3802002"
"1706212494-62","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Soprim","170 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-soprim-3801907"
"1706212494-63","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Ngor derrière chez Katia","310 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-derriere-chez-katia-3801679"
"1706212494-64","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - cité Djily Mbaye","250 000CFA","Djily MBaye, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-djily-mbaye-3800798"
"1706212494-65","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mamelles","500 000CFA","Mamelles, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3800685"
"1706212494-66","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Almadies","350 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-almadies-3800662"
"1706212494-67","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement - Almadies","500 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-almadies-3800677"
"1706212494-68","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 5 pièces - Sacré-Coeur","2 500 000CFA","Sacré-Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-sacre-coeur-3800673"
"1706212494-69","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Almadies","1 000 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3800654"
"1706212494-70","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Dakar","350 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-3800577"
"1706212494-71","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Dakar","350 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-3800583"
"1706212494-72","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Djily Mbaye","250 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-djily-mbaye-3800253"
"1706212494-73","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 5 pièces - Sicap Foire","500 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-sicap-foire-3800220"
"1706212494-74","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Mermoz Sacré-Cœur","450 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-cur-3799092"
"1706212494-75","https://sn.coinafrique.com/categorie/appartements?page=50","","","","Appartements à DakarVoir la collectionkeyboard_arrow_right","https://sn.coinafrique.com/collections/appartements-a-dakar/3840859"
"1706212494-76","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Sortie 9 Zac Mbao","150 000CFA","Rufisque, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sortie-9-zac-mbao-3799057"
"1706212494-77","https://sn.coinafrique.com/categorie/appartements?page=50","Location studio 2 pièces - Cité Horizon","250 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-cite-horizon-3798792"
"1706212494-78","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz-Sacré-Cœur","650 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-cur-3798558"
"1706212494-79","https://sn.coinafrique.com/categorie/appartements?page=50","Vente appartement 5 pièces - Point E","250 000 000CFA","Point E, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartement-5-pieces-point-e-3839473"
"1706212494-80","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 3 pièces - Dakar","750 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-dakar-3839426"
"1706212494-81","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 2 pièces - Dakar","500 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-dakar-3839417"
"1706212494-82","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements - Mermoz-Sacré Coeur","525 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-mermoz-sacre-coeur-3796936"
"1706212494-83","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements - Mermoz-Sacré Coeur","675 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-mermoz-sacre-coeur-3796941"
"1706212494-84","https://sn.coinafrique.com/categorie/appartements?page=50","Vente appartements 4 pièces - Almadies","150 000 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-almadies-3796692"
"1706212504-85","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 04 pièces - Almadies","1 350 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-04-pieces-almadies-3832812"
"1706212504-86","https://sn.coinafrique.com/categorie/appartements?page=49","Vente appartement 4 pièces - Almadies","130 000 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-almadies-3875137"
"1706212504-87","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces - Scat Urban","300 000CFA","Sicap foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-scat-urban-3832717"
"1706212504-88","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 3 pièces - Dakar Plateau","700 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-plateau-3874613"
"1706212504-89","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces à Dieuppeul","200 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-dieuppeul-3874086"
"1706212504-90","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 05 pièces - Mermoz-Sacré-Coeur","2 000 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-05-pieces-mermoz-sacre-coeur-3829428"
"1706212504-91","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 5 pièces - Sicap-Foire","500 000CFA","Sicap foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-sicap-foire-3873635"
"1706212504-92","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 02 pièces - Fann","500 000CFA","Fann, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-02-pieces-fann-3828022"
"1706212504-93","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartements 3 pièces - Almadies","1 400 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-almadies-3827561"
"1706212504-94","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartements 6 pièces - Ouakam","3 000 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-6-pieces-ouakam-3872293"
"1706212504-95","https://sn.coinafrique.com/categorie/appartements?page=49","Vente appartement 3 pièces - Almadies","125 000 000CFA","Diamniadio, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartement-3-pieces-almadies-3872038"
"1706212504-96","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces - Fann","1 600 000CFA","Fann, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-fann-3831905"
"1706212504-97","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces - Point E","1 555 000CFA","Point E, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-3831871"
"1706212504-98","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 3 pièces - Mamelles","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-3826500"
"1706212504-99","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces - Ngor Almadies","800 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-almadies-3871670"
"1706212504-100","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 3 pièces - Almadies","600 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-almadies-3871665"
"1706212504-101","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces - Point E","850 000CFA","Point E, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-3871183"
"1706212504-102","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 4 pièces - Virage","1 700 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-3825423"
"1706212504-103","https://sn.coinafrique.com/categorie/appartements?page=49","Location studio 2 pièces - Dakar Plateau","250 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-dakar-plateau-3828055"
"1706212504-104","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 3 pièces - Dakar Plateau","360 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-plateau-3828033"
"1706212504-105","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 3 pièces - Dakar Plateau","300 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-plateau-3828042"
"1706212504-106","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartement 3 pièces - Sicap Foire","250 000CFA","Sicap foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-foire-3870018"
"1706212504-107","https://sn.coinafrique.com/categorie/appartements?page=49","Location appartements 3 pièces - Mermoz - sacré cœur","35 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mermoz-sacre-cur-3870013"
